month,accuracy
2019-01-31,0.5040470668602053
2019-02-28,0.520613151953577
2019-03-31,0.5064722427740073
2019-04-30,0.5117480553530024
2019-05-31,0.5253640560574345
2019-06-30,0.5405107426020815
2019-07-31,0.5229537338399133
2019-08-31,0.522601217439798
2019-09-30,0.5494448888531794
2019-10-31,0.5359546059298768
2019-11-30,0.5376666618251901
2019-12-31,0.5214647677162917
2020-01-31,0.5305720621993745
2020-02-29,0.533578502940437
2020-03-31,0.5383223057982749
2020-04-30,0.5158785056336794
2020-05-31,0.5341038955843503
2020-06-30,0.5041686220499523
2020-07-31,0.4974030537196232
2020-08-31,0.5127618459054689
2020-09-30,0.4927923673603489
2020-10-31,0.47877893497809015
2020-11-30,0.4768881820037055
2020-12-31,0.4868012759626571
2021-01-31,0.48360582394922813
2021-02-28,0.4574181904348661
2021-03-31,0.46287161458230525
2021-04-30,0.4630419936757894
2021-05-31,0.4522910145414004
2021-06-30,0.4627776920787366
2021-07-31,0.4657024091323301
2021-08-31,0.4804315686126658
2021-09-30,0.4854505765848246
2021-10-31,0.47527021228009475
2021-11-30,0.48229585083113685
2021-12-31,0.4974663030925993
